Fecha, Identificador, Prioridad, Protocolo, Origen, Destino, Alerta, Clasificacion
07/03/2024-18:42:26.699809, 1:2221028:1, 3, TCP, 192.168.65.1:44907, 192.168.65.7:2375, SURICATA HTTP Host header invalid, Generic Protocol Command Decode
07/03/2024-18:42:26.699755, 1:2221028:1, 3, TCP, 192.168.65.1:46479, 192.168.65.7:2375, SURICATA HTTP Host header invalid, Generic Protocol Command Decode
07/03/2024-18:42:26.700188, 1:2260005:1, 3, TCP, 192.168.65.1:44907, 192.168.65.7:2375, SURICATA Applayer Unexpected protocol, Generic Protocol Command Decode
07/03/2024-18:42:26.700158, 1:2260005:1, 3, TCP, 192.168.65.1:46479, 192.168.65.7:2375, SURICATA Applayer Unexpected protocol, Generic Protocol Command Decode
07/03/2024-18:42:26.700210, 1:2260005:1, 3, TCP, 192.168.65.7:2375, 192.168.65.1:46479, SURICATA Applayer Unexpected protocol, Generic Protocol Command Decode
07/03/2024-18:42:26.700499, 1:2260005:1, 3, TCP, 192.168.65.1:46479, 192.168.65.7:2375, SURICATA Applayer Unexpected protocol, Generic Protocol Command Decode
07/03/2024-18:42:26.712728, 1:2221028:1, 3, TCP, 192.168.65.1:47792, 192.168.65.7:2375, SURICATA HTTP Host header invalid, Generic Protocol Command Decode
07/03/2024-18:42:26.712810, 1:2221028:1, 3, TCP, 192.168.65.1:43363, 192.168.65.7:2375, SURICATA HTTP Host header invalid, Generic Protocol Command Decode
07/03/2024-18:42:26.713244, 1:2260005:1, 3, TCP, 192.168.65.1:47792, 192.168.65.7:2375, SURICATA Applayer Unexpected protocol, Generic Protocol Command Decode
07/03/2024-18:42:26.713250, 1:2260005:1, 3, TCP, 192.168.65.1:43363, 192.168.65.7:2375, SURICATA Applayer Unexpected protocol, Generic Protocol Command Decode
07/03/2024-18:42:26.713253, 1:2260005:1, 3, TCP, 192.168.65.1:47792, 192.168.65.7:2375, SURICATA Applayer Unexpected protocol, Generic Protocol Command Decode
07/03/2024-18:42:26.713256, 1:2260005:1, 3, TCP, 192.168.65.1:43363, 192.168.65.7:2375, SURICATA Applayer Unexpected protocol, Generic Protocol Command Decode
